最新,#genre#
驚豔台,http://jieting.yugg.cf/vip2021/jieting.php?id=409
潘朵拉完美,http://jieting.yugg.cf/vip2021/jieting.php?id=410
潘朵拉粉紅,http://jieting.yugg.cf/vip2021/jieting.php?id=411
happy,http://jieting.yugg.cf/vip2021/jieting.php?id=412
彩虹電影,http://jieting.yugg.cf/vip2021/jieting.php?id=413
一本道,http://jieting.yugg.cf/vip2021/jieting.php?id=414
二本道,http://jieting.yugg.cf/vip2021/jieting.php?id=415
東京熱,http://jieting.yugg.cf/vip2021/jieting.php?id=416
Hustler HD,http://jieting.yugg.cf/vip2021/jieting.php?id=451
Redlight HD,http://jieting.yugg.cf/vip2021/jieting.php?id=452
Pr?vate TV,http://jieting.yugg.cf/vip2021/jieting.php?id=453
Dorcel HD,http://jieting.yugg.cf/vip2021/jieting.php?id=454
Vivid Red HD,http://jieting.yugg.cf/vip2021/jieting.php?id=455
Erox HD,http://jieting.yugg.cf/vip2021/jieting.php?id=456
Super One HD,http://jieting.yugg.cf/vip2021/jieting.php?id=457
Babes TV HD,http://jieting.yugg.cf/vip2021/jieting.php?id=458
SEX ATION HD,http://jieting.yugg.cf/vip2021/jieting.php?id=459
Passie,http://jieting.yugg.cf/vip2021/jieting.php?id=461
SCT Classic,http://jieting.yugg.cf/vip2021/jieting.php?id=462


中文,#genre#

松視1,rtmp://161.202.204.248:1935/tv/ttv11
松視2,mitv://fccsovh.pvbox.live:18912/5c7249c2000e510ff069277e6de97521
HAPPY,rtmp://161.202.204.248:1935/tv/ttv12
粉红台,mitv://147.135.39.171:9906/600fee6b000b9a9b8ba106705fcc6fbe.ts
惊艳台,mitv://147.135.39.171:9906/600fee6c000abd6a8ba10a1a128227a6.ts
Playboy,mitv://147.135.39.171:9906/5e73be64000bc4a119b463b625bf0790.ts
一本道,http://video1.rhsj520.com:8091/nyrm3/20180105/3/050313-328/1500kb/hls/index.m3u8
二本道,http://video1.rhsj520.com:8091/nyrm3/heyzo337/heyzo_hd_0431_full/1500kb/hls/index.m3u8
日本娱乐,https://5ed5d165c218d.streamlock.net:441/free/Stream1/playlist.m3u8



欧美,#genre#

Big_Ass_(18+),http://live.redtraffic.xyz/bigass.m3u8
Big_Dick_(18+),http://live.redtraffic.xyz/bigdick.m3u8
Big_Tits_(18+),http://live.redtraffic.xyz/bigtits.m3u8
Blowjob_(18+),http://live.redtraffic.xyz/blowjob.m3u8
Cuckold_HD_720_(18+),http://live.redtraffic.xyz/cuckold.m3u8
Fetish_HD_720_(18+),http://live.redtraffic.xyz/fetish.m3u8
Hard_Core_(18+),http://live.redtraffic.xyz/hardcore.m3u8
Interracial_HD_720_(18+),http://live.redtraffic.xyz/interracial.m3u8
Latina_HD_720_(18+),http://live.redtraffic.xyz/latina.m3u8
Lesbian_(18+),http://live.redtraffic.xyz/lesbian.m3u8
Milf_HD_720_(18+),http://live.redtraffic.xyz/milf.m3u8
Pornstar_HD_720_(18+),http://live.redtraffic.xyz/pornstar.m3u8
POV_HD_720_(18+),http://live.redtraffic.xyz/pov.m3u8
Private_TV_HD_(18+),http://188.35.9.5:10005/stolen/153a/imposter.rar
Russian_HD_720_(18+),http://live.redtraffic.xyz/russian.m3u8
Teen_HD_720_(18+),http://live.redtraffic.xyz/teen.m3u8
Three_Some_(18+),http://live.redtraffic.xyz/threesome.m3u8
Madonna,https://yiqikan.wuyouzuida.com/20200112/2764_33b2e2fd/index.m3u8
Miami TV Latino,http://59ec5453559f0.streamlock.net/canal18/smil:canal18/chunklist_b2592000.m3u8?fluxuslust.m3u8
Miami TV Live,http://59ec5453559f0.streamlock.net:1935/mexicotv/smil:miamitvmexicoROKU/chunklist_b1896000.m3u8?fluxuslust.m3u8
Miami TV(18+),http://59ec5453559f0.streamlock.net:1935/miamitv/smil:miamitvROKU/chunklist_b2592000.m3u8
JASMIN.TV(18+),http://109.71.162.112:1935/live/hd.jasminchannel.stream/playlist.m3u8
Playboy,P2p://147.135.39.171:9906/5e73be64000bc4a119b463b625bf0790.ts
Playboy,P2p://147.135.39.171:9906/5e73be64000bc4a119b463b625bf0790.ts           

Miami TV Latino,http://59ec5453559f0.streamlock.net/canal18/smil:canal18/chunklist_b2592000.m3u8?fluxuslust.m3u8
Miami TV Live,http://59ec5453559f0.streamlock.net:1935/mexicotv/smil:miamitvmexicoROKU/chunklist_b1896000.m3u8?fluxuslust.m3u8
Miami TV(18+),http://59ec5453559f0.streamlock.net:1935/miamitv/smil:miamitvROKU/chunklist_b2592000.m3u8
Big_Ass_(18+),http://live.redtraffic.xyz/bigass.m3u8
Big_Dick_(18+),http://live.redtraffic.xyz/bigdick.m3u8
Big_Tits_(18+),http://live.redtraffic.xyz/bigtits.m3u8
Blowjob_(18+),http://live.redtraffic.xyz/blowjob.m3u8
Cuckold_HD_720_(18+),http://live.redtraffic.xyz/cuckold.m3u8
Fetish_HD_720_(18+),http://live.redtraffic.xyz/fetish.m3u8
Hard_Core_(18+),http://live.redtraffic.xyz/hardcore.m3u8
Interracial_HD_720_(18+),http://live.redtraffic.xyz/interracial.m3u8
Latina_HD_720_(18+),http://live.redtraffic.xyz/latina.m3u8
Lesbian_(18+),http://live.redtraffic.xyz/lesbian.m3u8
Milf_HD_720_(18+),http://live.redtraffic.xyz/milf.m3u8
Pornstar_HD_720_(18+),http://live.redtraffic.xyz/pornstar.m3u8
POV_HD_720_(18+),http://live.redtraffic.xyz/pov.m3u8
Private_TV_HD_(18+),http://188.35.9.5:10005/stolen/153a/imposter.rar
Russian_HD_720_(18+),http://live.redtraffic.xyz/russian.m3u8
Teen_HD_720_(18+),http://live.redtraffic.xyz/teen.m3u8
Three_Some_(18+),http://live.redtraffic.xyz/threesome.m3u8


欧美,#genre#
金发洋妹1,https://videomy.yongaomy.com/20200502/5blPZB5w/1500kb/hls/index.m3u8
金发洋妹2,https://videomy.yongaomy.com/20200502/Gcw580lp/1500kb/hls/index.m3u8
金发洋妹3,https://videomy.yongaomy.com/20200502/jbRvvlm4/1500kb/hls/index.m3u8
金发洋妹4,https://videomy.yongaomy.com/20200502/1WxPRT0v/1500kb/hls/index.m3u8
金发洋妹5,https://videomy.yongaomy.com/20200502/fnWkqCxK/1500kb/hls/index.m3u8
欧美 高清1,http://live.redtraffic.xyz/teen.m3u8?fluxuslust.m3u8
欧美 高清2,http://live.redtraffic.xyz/pornstar.m3u8?fluxuslust.m3u8
欧美 高清3,http://live.redtraffic.xyz/pov.m3u8?fluxuslust.m3u8
欧美 高清4,http://live.redtraffic.xyz/milf.m3u8?fluxuslust.m3u8
欧美 高清5,http://live.redtraffic.xyz/lesbian.m3u8?fluxuslust.m3u8
欧美 高清6,http://live.redtraffic.xyz/latina.m3u8?fluxuslust.m3u8
欧美 高清7,http://live.redtraffic.xyz/fetish.m3u8?fluxuslust.m3u8
欧美 高清8,http://live.redtraffic.xyz/blowjob.m3u8?fluxuslust.m3u8
欧美 高清9,http://live.redtraffic.xyz/bigdick.m3u8?fluxuslust.m3u8
欧美 高清10,http://live.redtraffic.xyz/bigass.m3u8fluxuslust.m3u8
欧美 高清11,http://live.redtraffic.xyz/threesome.m3u8?fluxuslust.m3u8
欧美 高清12,http://live.redtraffic.xyz/threesome.m3u8
欧美 高清13,http://live.redtraffic.xyz/pornstar.m3u8?fluxuslust.m3u8
欧美 高清14,http://live.redtraffic.xyz/pov.m3u8?fluxuslust.m3u8
欧美 高清15,http://live.redtraffic.xyz/bigdick.m3u8?fluxuslust.m3u8
欧美 高清16,http://live.redtraffic.xyz/bigass.m3u8fluxuslust.m3u8
欧美 高清17,http://live.redtraffic.xyz/threesome.m3u8?fluxuslust.m3u8
HUSTLER TV1,http://catchup.iptv.iinet.rs/playlist.m3u8?id=177&token=dG9rZW49LVkzblctbGw0RUdzSWhVWWdDUlNiUjZMbGpBbkVUNzgmaWQ9NzImc2VjcmV0PW90dA==&DVR;?streamType=live
HUSTLER TV2,http://catchup.iptv.iinet.rs/playlist.m3u8?id=177&token=dG9rZW49LVkzblctbGw0RUdzSWhVWWdDUlNiUjZMbGpBbkVUNzgmaWQ9NzImc2VjcmV0PW90dA==&
HUSTLER HD,http://188.35.9.26:2030/udp/047c
SEX TV,http://188.35.9.26:5031/udp/058j
BIG DICK,http://live.redtraffic.xyz/bigdick.m3u8?streamType=live
PORN STAR,http://live.redtraffic.xyz/pornstar.m3u8

欧美,#genre#

樱花台欧美版,http://live.redtraffic.xyz:80/russian.m3u8
一本道欧美版,http://live.redtraffic.xyz:80/bigass.m3u8
松视1欧美版,http://live.redtraffic.xyz:80/fetish.m3u8
松视2欧美版,http://live.redtraffic.xyz:80/interracial.m3u8
松视3欧美版,http://live.redtraffic.xyz:80/bigtits.m3u8
松视4欧美版,http://live.redtraffic.xyz:80/bigdick.m3u8
潘多拉欧美版,http://live.redtraffic.xyz:80/pornstar.m3u8
香蕉台欧美版,http://live.redtraffic.xyz:80/milf.m3u8
K频道欧美版,http://live.redtraffic.xyz:80/threesome.m3u8
惊艳台欧美版,http://live.redtraffic.xyz:80/cuckold.m3u8
HOT欧美版,http://live.redtraffic.xyz:80/hardcore.m3u8
粉红台欧美版,http://live.redtraffic.xyz:80/teen.m3u8
玩美台欧美版,http://live.redtraffic.xyz:80/pov.m3u8
二本道欧美版,http://live.redtraffic.xyz:80/blowjob.m3u8
HOT欧美版,http://live.redtraffic.xyz:80/hardcore.m3u8
K频道欧美版,http://live.redtraffic.xyz:80/threesome.m3u8
二本道欧美版,http://live.redtraffic.xyz:80/blowjob.m3u8
粉红台欧美版,http://live.redtraffic.xyz:80/teen.m3u8
惊艳台欧美版,http://live.redtraffic.xyz:80/cuckold.m3u8
潘多拉欧美版,http://live.redtraffic.xyz:80/pornstar.m3u8
松视1,https://717616144.r.worldssl.net/717616144/tv/ttv11/media-u7n7u13fd_w1523462549_12518.m3u8
松视1欧美版,http://live.redtraffic.xyz:80/fetish.m3u8
松视2欧美版,http://live.redtraffic.xyz:80/interracial.m3u8
松视3欧美版,http://live.redtraffic.xyz:80/bigtits.m3u8
松视4欧美版,http://live.redtraffic.xyz:80/bigdick.m3u8
松视一台,https://717616144.r.worldssl.net/717616144/tv/ttv11/chunklist_w1523462549.m3u8
玩美台欧美版,http://live.redtraffic.xyz:80/pov.m3u8
香蕉台欧美版,http://live.redtraffic.xyz:80/milf.m3u8
松视1台,https://717616144.r.worldssl.net/717616144/tv/ttv11/playlist.m3u8#https://717616144.r.worldssl.net/717616144/tv/ttv11/chunklist_w1523462549.m3u8
欢乐台,https://717616144.r.worldssl.net/717616144/tv/ttv12/playlist.m3u8
日本娱台,https://5ed5d165c218d.streamlock.net:441/free/Stream1/playlist.m3u8



欧美,#genre#

欧美1,http://v2.14mp4.com/av-hls/20160713/m14/index.m3u8?type=m3u8
欧美2,http://v2.14mp4.com/av-hls/20160713/m18/index.m3u8?type=m3u8
欧美3,http://v2.14mp4.com/av-hls/20160713/m19/index.m3u8?type=m3u8
欧美4,http://v2.14mp4.com/av-hls/20160713/m20/index.m3u8?type=m3u8
欧美5,http://v2.14mp4.com/av-hls/20160713/m25/index.m3u8?type=m3u8
欧美6,http://v2.14mp4.com/av-hls/20160713/m27/index.m3u8?type=m3u8
欧美7,http://v2.14mp4.com/av-hls/20160713/m28/index.m3u8?type=m3u8
欧美8,http://v2.14mp4.com/av-hls/20160713/m43/index.m3u8?type=m3u8
欧美9,http://v2.14mp4.com/av-hls/20160713/m46/index.m3u8?type=m3u8
欧美10,http://v2.14mp4.com/av-hls/20160713/m47/index.m3u8?type=m3u8
欧美11,http://v2.14mp4.com/av-hls/20160713/m49/index.m3u8?type=m3u8
欧美12,http://v2.14mp4.com/av-hls/20160713/m53/index.m3u8?type=m3u8
欧美13,http://v2.14mp4.com/av-hls/20160713/m79/index.m3u8?type=m3u8
欧美14,http://v2.14mp4.com/av-hls/20160713/m81/index.m3u8?type=m3u8
欧美15,http://v2.14mp4.com/av-hls/20160713/m82/index.m3u8?type=m3u8
欧美16,http://v2.14mp4.com/av-hls/20160713/m83/index.m3u8?type=m3u8
欧美17,http://v2.14mp4.com/av-hls/20160713/m84/index.m3u8?type=m3u8
欧美18,http://v2.14mp4.com/av-hls/20160713/m85/index.m3u8?type=m3u8
欧美19,http://v2.14mp4.com/av-hls/20160713/m89/index.m3u8?type=m3u8
欧美20,http://v2.14mp4.com/av-hls/20160713/m91/index.m3u8?type=m3u8
欧美21,http://v2.14mp4.com/av-hls/20160713/m92/index.m3u8?type=m3u8
欧美22,http://v2.14mp4.com/av-hls/20160713/m107/index.m3u8?type=m3u8
欧美23,http://v2.14mp4.com/av-hls/20160713/m108/index.m3u8?type=m3u8
欧美24,http://v2.14mp4.com/av-hls/20160713/m109/index.m3u8?type=m3u8
欧美25,http://v2.14mp4.com/av-hls/20160713/m110/index.m3u8?type=m3u8
欧美26,http://v2.14mp4.com/av-hls/20160713/m118/index.m3u8?type=m3u8
欧美27,http://v2.14mp4.com/av-hls/20160713/m120/index.m3u8?type=m3u8
欧美28,http://v2.14mp4.com/av-hls/20160713/m121/index.m3u8?type=m3u8
欧美29,http://v2.14mp4.com/av-hls/20160713/m122/index.m3u8?type=m3u8
欧美30,http://v2.14mp4.com/av-hls/20160713/m123/index.m3u8?type=m3u8
欧美31,http://v2.14mp4.com/av-hls/20160713/m124/index.m3u8?type=m3u8
欧美32,http://v2.14mp4.com/av-hls/20160713/m126/index.m3u8?type=m3u8
欧美33,http://v2.14mp4.com/av-hls/20160713/m127/index.m3u8?type=m3u8
欧美34,http://v2.14mp4.com/av-hls/20160713/m128/index.m3u8?type=m3u8
欧美35,http://v2.14mp4.com/av-hls/20160713/m130/index.m3u8?type=m3u8
欧美36,http://v2.14mp4.com/av-hls/20160713/m131/index.m3u8?type=m3u8
欧美37,http://v2.14mp4.com/av-hls/20160713/m132/index.m3u8?type=m3u8
欧美38,https://m3u8.34cdn.com/videos/smbu/1906/u5cdqmSS/u5cdqmSS.m3u8
欧美 高清1,http://live.redtraffic.xyz/teen.m3u8?fluxuslust.m3u8
欧美 高清2,http://live.redtraffic.xyz/pornstar.m3u8?fluxuslust.m3u8
欧美 高清3,http://live.redtraffic.xyz/pov.m3u8?fluxuslust.m3u8
欧美 高清4,http://live.redtraffic.xyz/milf.m3u8?fluxuslust.m3u8
欧美 高清5,http://live.redtraffic.xyz/lesbian.m3u8?fluxuslust.m3u8
欧美 高清6,http://live.redtraffic.xyz/latina.m3u8?fluxuslust.m3u8
欧美 高清7,http://live.redtraffic.xyz/fetish.m3u8?fluxuslust.m3u8
欧美 高清8,http://live.redtraffic.xyz/blowjob.m3u8?fluxuslust.m3u8
欧美 高清9,http://live.redtraffic.xyz/bigdick.m3u8?fluxuslust.m3u8
欧美 高清10,http://live.redtraffic.xyz/bigass.m3u8fluxuslust.m3u8
俄罗斯成人1台,http://live.redtraffic.xyz/teen.m3u8?fluxuslust.m3u8
俄罗斯成人2台,http://live.redtraffic.xyz/pornstar.m3u8?fluxuslust.m3u8
俄罗斯成人3台,http://live.redtraffic.xyz/pov.m3u8?fluxuslust.m3u8
俄罗斯成人4台,http://live.redtraffic.xyz/milf.m3u8?fluxuslust.m3u8
俄罗斯成人5台,http://live.redtraffic.xyz/lesbian.m3u8?fluxuslust.m3u8
俄罗斯成人6台,http://live.redtraffic.xyz/latina.m3u8?fluxuslust.m3u8
俄罗斯成人7台,http://live.redtraffic.xyz/fetish.m3u8?fluxuslust.m3u8
俄罗斯成人8台,http://live.redtraffic.xyz/blowjob.m3u8?fluxuslust.m3u8
俄罗斯成人9台,http://live.redtraffic.xyz/bigdick.m3u8?fluxuslust.m3u8
俄罗斯成人10台,http://live.redtraffic.xyz/bigass.m3u8?fluxuslust.m3u8



动物,#genre#

女人与狗性交,https://lbbf9.com/20191101/eBOJfb6U/index.m3u8
美女与烈马的激情,https://lbbf9.com/20191101/MTJtTnUA/index.m3u8
美女都被狗草了,https://lbbf9.com/20191101/djPIcBlF/index.m3u8
女人与狗性交,https://lbbf9.com/20191101/eBOJfb6U/index.m3u8
人狗激情热舞,https://lbbf9.com/20191101/bnvqBpEI/index.m3u8
人妖也寂寞,https://lbbf9.com/20191101/Mi5biEYn/index.m3u8
人与畜-局部按摩,https://lbbf9.com/20191101/5uO77des/index.m3u8
人与畜-小红马的性生活,https://lbbf9.com/20191101/y8OONPDs/index.m3u8
人与狗的故事,https://lbbf9.com/20191101/4YB5xIix/index.m3u8
少妇和狗啪啪啪,https://lbbf9.com/20191101/bkA29Dll/index.m3u8
少妇在马圈里给马儿上性教育课,https://lbbf9.com/20191101/rSW9K16a/index.m3u8
激情狗射液,https://lbbf9.com/20191101/e5hFAMlS/index.m3u8
好白菜都让猪上了,https://lbbf9.com/20191101/6ZuzlXo3/index.m3u8
不错的少妇,https://lbbf9.com/20191101/hmk1gKNA/index.m3u8
激情狗舔BB,https://lbbf9.com/20191101/8UJNYtuH/index.m3u8
马圈里的工作者,https://lbbf9.com/20191101/SZTyilsw/index.m3u8

香港,#genre#

3D肉蒲团1,https://wuxian.xueyou-kuyun.com/20190515/11880_f3ce69d1/index.m3u8
3D肉蒲团2,https://bilibili.com-l-163.com/20180930/7533_f8a5d885/1000k/hls/index.m3u8
3D肉蒲团之极乐宝鉴,https://a.mhqiyi.com/20200921/iOEe5pvs/index.m3u8
玉蒲团之极乐宝鉴,http://youku1.dianfubang.com/20191114/OZMmwT4v/index.m3u8
玉女心经,http://youku1.dianfubang.com/20191121/g6lNWGTy/index.m3u8
玉蒲团之云雨山庄,http://d2.zxfsjc.com/201811/15/hPi33s5N/mp4/hPi33s5N.mp4
苹果（范冰冰版）,http://youku1.dianfubang.com/20190809/pjknbRfB/index.m3u8
天浴（李小璐禁片）,http://youku1.dianfubang.com/20190827/JzigXERv/index.m3u8
打蛇,http://youku1.dianfubang.com/20190222/kex448Y5/index.m3u8
雏妓,http://youku1.dianfubang.com/20190409/UjgzHGaC/index.m3u8
满清十大酷刑之赤裸凌迟,http://youku1.dianfubang.com/20190819/mdgNqaMq/index.m3u8
金瓶梅全集,http://youku1.dianfubang.com/20190303/4nb74sxU/index.m3u8
金瓶梅,http://youku1.dianfubang.com/20191121/Be6UTdYE/index.m3u8
金瓶梅史,http://youku1.dianfubang.com/20200222/UBo7x3eN/index.m3u8
聊斋金瓶梅,http://youku1.dianfubang.com/20190320/2vaUpmNC/index.m3u8
金瓶梅之鸳鸯戏床,http://youku1.dianfubang.com/20190417/NDilRUo5/index.m3u8
金瓶梅2：爱的奴隶,http://youku1.dianfubang.com/20191118/7MtM6i1o/index.m3u8
金瓶双艳,http://youku1.dianfubang.com/20200113/hlPcoxGh/index.m3u8
足本玉蒲团/浮世风情绘,http://youku1.dianfubang.com/20190301/rmMNIixW/index.m3u8
玉蒲团笑传之大内密探零零性],http://youku1.dianfubang.com/20190301/nl1xDW7j/index.m3u8
玉蒲团Ⅰ之偷情宝鉴,http://youku1.dianfubang.com/20191119/reM0MAkE/index.m3u8
玉蒲团之西厢艳谈,http://youku1.dianfubang.com/20190301/Zl1000Bd/index.m3u8
玉蒲团Ⅳ云雨山庄,http://youku1.dianfubang.com/20190301/tZAP5WtH/index.m3u8
玉蒲团Ⅴ阳物性教,http://youku1.dianfubang.com/20190301/xbZpOCCj/index.m3u8
玉蒲团Ⅵ淫行天下,http://youku1.dianfubang.com/20190301/mMqkA9VX/index.m3u8
玉蒲团Ⅲ之官人我要,http://youku1.dianfubang.com/20190301/2rCWi1t3/index.m3u8

聊斋艳谭8陆判性经,http://youku1.dianfubang.com/20190221/xgZlqGHH/index.m3u8
现代白蛇艳谭,http://youku1.dianfubang.com/20191018/zSnEhFaO/index.m3u8
聊斋艳谭 1,http://youku1.dianfubang.com/20200118/rX0nNvIh/index.m3u8
欲孽迷宫,http://youku1.dianfubang.com/20190409/SSUFhgMu/index.m3u8
浮世绘：捉奸·通奸·强奸,http://youku1.dianfubang.com/20190322/RInPrNwa/index.m3u8
闰年,http://youku1.dianfubang.com/20200120/CSBO2pfo/index.m3u8
闰年,http://youku1.dianfubang.com/20190602/LuNLQJow/index.m3u8
蜜桃成熟时2：同居关系,http://youku1.dianfubang.com/20190317/BZKYM4Uk/index.m3u8
欲爱欲美丽-禁断的偷情,http://youku1.dianfubang.com/20190919/5hEW8PKo/index.m3u8
潘金莲之前世今生,http://youku1.dianfubang.com/20190324/tYYCWERu/index.m3u8
一路向西,http://youku1.dianfubang.com/20190420/divTcXie/index.m3u8
3D豪情,http://youku1.dianfubang.com/20191114/JSIsnesa/index.m3u8
南洋第一邪降,http://youku1.dianfubang.com/20200427/tJeA5q2S/index.m3u8
中国性戏观,http://youku1.dianfubang.com/20190320/aRygwREr/index.m3u8
四大美人之西施,http://youku1.dianfubang.com/20190406/JMJsmty5/index.m3u8
聊斋艳谭之画皮,http://youku1.dianfubang.com/20191214/X3nLcOT4/index.m3u8
紫禁秘录,http://youku1.dianfubang.com/20190827/u11bbiKx/index.m3u8
慈溪秘密生活,http://youku1.dianfubang.com/20190811/VIwLqmjB/index.m3u8
喜爱夜蒲1,http://youku1.dianfubang.com/20191124/J6ukxbws/index.m3u8
聊斋之欲焰三娘子,http://youku1.dianfubang.com/20190720/czcTXifE/index.m3u8
新红楼梦,http://youku1.dianfubang.com/20190318/7edOpdLS/index.m3u8
卿本佳人,http://youku1.dianfubang.com/20190306/5QwnlfTY/index.m3u8
军妓慰安妇,http://youku1.dianfubang.com/20190320/OIZDMPMM/index.m3u8
尸蛊艳谭完整版,http://youku1.dianfubang.com/20190220/7buriCWX/index.m3u8
颐和园未删减完整版,http://youku1.dianfubang.com/20190702/8MyFc8YB/index.m3u8
色即是空,http://youku1.dianfubang.com/20191113/DbOnl5Bb/index.m3u8
少女闺房,http://youku1.dianfubang.com/20191028/PJotlSfz/index.m3u8
欲蛇,http://youku1.dianfubang.com/20200131/1wYCCehj/index.m3u8
聊斋之色魔传,http://youku1.dianfubang.com/20190403/iAmyHGor/index.m3u8
聊斋艳奇之陆判性经,http://youku1.dianfubang.com/20200203/bZpjv2YA/index.m3u8
聊斋艳谭1,http://youku1.dianfubang.com/20200118/rX0nNvIh/index.m3u8
香帅传奇之桃花传奇,http://youku1.dianfubang.com/20190412/B7rDAgPN/index.m3u8
色降2：万里驱魔,http://youku1.dianfubang.com/20190412/0CMxoObf/index.m3u8
蜜桃成熟时I,http://youku1.dianfubang.com/20190317/w2P1CuIS/index.m3u8
极乐酷刑,http://youku1.dianfubang.com/20190427/TYt4thOw/index.m3u8
香港奸杀奇案,http://youku1.dianfubang.com/20190319/0OmVgZU7/index.m3u8
春宫图,http://youku1.dianfubang.com/20190420/dM7px6D9/index.m3u8
东宫西宫（禁片罕见）,http://youku1.dianfubang.com/20190827/hgdQ9caD/index.m3u8
下海 国产禁片-演绎站街女],http://youku1.dianfubang.com/20200106/eIrTphxk/index.m3u8
风月宝鉴之淫乱英雄传,http://youku1.dianfubang.com/20190307/JGx9tOsk/index.m3u8
花与蛇地狱篇,http://youku1.dianfubang.com/20190404/SPh9JmcX/index.m3u8
诱僧,http://youku1.dianfubang.com/20190321/52OEWEl1/index.m3u8
玉蒲团笑传之大内密探零零性,http://youku1.dianfubang.com/20190301/nl1xDW7j/index.m3u8
催情宝鉴 前篇,http://youku1.dianfubang.com/20200220/S1Tif5gf/index.m3u8
中国古代性文化大观 2,http://youku1.dianfubang.com/20200108/5Mw9EntG/index.m3u8
聊斋荷花三娘子,http://youku1.dianfubang.com/20190403/EBM6rIjg/index.m3u8
八旗子弟,http://youku1.dianfubang.com/20190602/kwc2W1gF/index.m3u8
喜爱夜蒲2,http://youku1.dianfubang.com/20191125/VwzdUPXv/index.m3u8
灭门惨案2之借种,http://youku1.dianfubang.com/20190306/8HnhIhMc/index.m3u8
水浒传之英雄好色,http://youku1.dianfubang.com/20190419/vgScIdkx/index.m3u8


中文,#genre#


(国语)唐伯虎八美图/金装四大才子,https://cdn.www605zy.com/20190523/kVToyJF2/index.m3u8
(粤语)3D豪情,https://cdn.www605zy.com/20190613/IR2QJYwt/index.m3u8
(国语)偷情男女[未删减版],https://pp.www605zy.com/20190614/pyuktuYB/index.m3u8
(粤语)三夫/三个丈夫,https://cdn.www605zy.com/20190704/5wpFbVN6/index.m3u8
(国语)玉蒲团之淫行无道,https://pp.www605zy.com/20190809/GGwv2DAI/index.m3u8
(粤语)玉蒲团之阳物性教,https://pp.www605zy.com/20190809/5e1swcg7/index.m3u8
(国语)色降,https://cdn.www605zy.com/20190906/uPwS6zQO/index.m3u8
(国语)鸡年寻欢,https://pp.www605zy.com/20190913/Rxeogvpf/index.m3u8
(国语)挡不住的风情,https://pp.www605zy.com/20190913/zNUHcdaa/index.m3u8
(国语)与鸭共舞,https://cdn.www605zy.com/20191104/nGw726D8/index.m3u8
(粤语)聊斋艳谭,https://cdn.www605zy.com/20191104/cx9VZUNB/index.m3u8
(国语)女色狼,https://pp.www605zy.com/20191105/pd7me7qT/index.m3u8
(粤语)七彩西游记,https://cdn.ziyuan605.com/20190105/Xn9VCB5I/index.m3u8
(粤语)聊斋艳谭高清版,https://cdn.www605zy.com/20190425/xmE0STDC/index.m3u8
(国语)现代豪放女,https://cdn.www605zy.com/20190424/bx6NMmuR/index.m3u8
(国语)桃色经纪,https://cdn.www605zy.com/20190423/QONrQ1QI/index.m3u8
(粤语)唐朝豪放女,https://cdn.www605zy.com/20190423/BIW11RAz/index.m3u8
(国语)色中饿鬼,https://cdn.www605zy.com/20190423/5fswL2sr/index.m3u8
