虎牙,#genre#
埋堆堆5,http://121.12.115.156/tx.hls.huya.com/huyalive/1199563564801-1199563564801-5444683728506847232-2399127253058-10057-A-0-1.m3u8
埋堆堆6,http://121.12.115.156/tx.hls.huya.com/huyalive/1199561177177-1199561177177-5434428961511702528-2399122477810-10057-A-0-1.m3u8
埋堆堆7,http://121.12.115.156/tx.hls.huya.com/src/1199561182641-1199561182641-5434452429213007872-2399122488738-10057-A-0-1.m3u8
埋堆堆8,http://121.12.115.156/tx.hls.huya.com/huyalive/1199561153167-1199561153167-5434325839346925568-2399122429790-10057-A-0-1.m3u8
埋堆堆9,http://121.12.115.156/tx.hls.huya.com/huyalive/1199563479466-1199563479466-5444317217472643072-2399127082388-10057-A-0-1.m3u8
埋堆堆10,http://121.12.115.156/tx.hls.huya.com/huyalive/1199561462555-1199561462555-5435654650688700416-2399123048566-10057-A-0-1.m3u8
埋堆堆11,http://121.12.115.156/tx.hls.huya.com/huyalive/1199561176260-1199561176260-5434425023026692096-2399122475976-10057-A-0-1.m3u8


新闻,#genre#



无线新闻,http://livetv.dnsfor.me/channel.10.m3u8
有線新聞,https://api.leonardpark.dev/live/icable/109
CCTV13 新闻,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225817/index.m3u8
CCTV13 新闻,http://223.110.241.137:6610/gitv/live1/G_CCTV-13-HQ/G_CCTV-13-HQ/.m3u8
CCTV13 新闻,http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8
广东新闻,http://111.161.121.214/nclive.grtn.cn/xwpd/sd/live.m3u8

凤凰资讯,https://player.ggiptv.com/v/ifeng.php?id=1
TVBS新闻,http://seb.sason.top/sc/tvbsxw_fhd.m3u8
壹电视新闻,http://stream.nexttv.com.tw/n001/hd/live.m3u8
中天新闻,http://seb.sason.top/sc/ztxw_fhd.m3u8
中视新闻,http://seb.sason.top/sc/zsxw_fhd.m3u8
台视新闻,http://seb.sason.top/sc/tsxw_fhd.m3u8
民视新闻,http://seb.sason.top/sc/msxw_fhd.m3u8
东森新闻,http://seb.sason.top/sc/dsxw_fhd.m3u8
华视新闻,http://seb.sason.top/sc/hsxw_fhd.m3u8
三立新闻,http://seb.sason.top/sc/sllive_fhd.m3u8
三立iNews,http://seb.sason.top/sc/slinews_fhd.m3u8
ABC News,https://abc-iview-mediapackagestreams-2.akamaized.net/out/v1/6e1cc6d25ec0480ea099a5399d73bc4b/index.m3u8
ABC News,https://c.mjh.nz/101002210220/
ABC News,https://abc-iview-mediapackagestreams-2.akamaized.net/out/v1/6e1cc6d25ec0480ea099a5399d73bc4b/index_45.m3u8
Sky News①,https://skynewsau-live.akamaized.net/hls/live/2002689/skynewsau-extra1/master.m3u8
Sky News②,https://skynewsau-live.akamaized.net/hls/live/2002690/skynewsau-extra2/master.m3u8
Sky News③,https://skynewsau-live.akamaized.net/hls/live/2002691/skynewsau-extra3/master.m3u8
BBC News,http://93.190.139.35:8278/streams/d/bbcworldnews_antik/playlist.m3u8
BBC World NEWS,http://tvxclnt.com:8080/IPTVTREE2019/Th90qLPNGN/442
CNN,http://93.190.139.35:8278/streams/d/cnn_antik/playlist.m3u8
日本News24,http://www.news24.jp/livestream/index.m3u8
DW News,https://livecdn.fptplay.net/world/dwenglish_hls.smil/chunklist_b2500000.m3u8
FOX NEWS,http://1111296894.rsc.cdn77.org/ls-54548-2/tracks-v1a1/mono.m3u8
Global BC,https://live.corusdigitaldev.com/groupa/live/48a5882b-a1ec-42d7-bfd7-6c2739e737da/live.isml/master.m3u8
Global News,https://live.corusdigitaldev.com/groupd/live/8970c668-40cd-4ca9-8c4d-25fd04f619b5/live.isml/master.m3u8
RT UK,https://rt-uk-gd.secure2.footprint.net/1106_2500Kb.m3u8?source:iptvmate.net
RT NEWS,https://rt-usa.secure.footprint.net/1105_2500Kb.m3u8?source:iptvmate.net
RT America,https://rt-usa-gd.secure2.footprint.net/1105_2500Kb.m3u8?source:iptvmate.net
Fastway News,http://163.47.214.155:1935/fwnews/live/playlist.m3u8
广西新闻,http://mobilelive.gxtv.cn/live/nn_live1007/playlist.m3u8
南京新闻,http://live.nbs.cn/channels/njtv/xwzh/m3u8:500k/live.m3u8
江苏新闻,http://223.110.241.150:6610/gitv/live1/G_JSGG/G_JSGG/
福建新闻,rtsp://183.252.166.199/PLTV/88888888/224/3221226116/10000100000000060000000002358068_0.smil
福建新闻,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226116/10000100000000060000000002358068_0.smil
重庆新闻,https://zbxclive.cbg.cn/app_2/ls_3.stream/playlist.m3u8
四川新闻,http://scgctvshow.sctv.com/hdlive/sctv4/1.m3u8
江西新闻,http://39.135.138.6:6610/PLTV/88888888/224/3221225615/2/index.m3u8
江西新闻,http://39.135.138.6:6610/PLTV/88888888/224/3221225576/2/index.m3u8
江西新闻,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225576/index.m3u8?fmt=ts2hls
南昌新闻,http://39.135.138.6:6610/PLTV/88888888/224/3221226223/2/1000.m3u8
南昌新闻,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/jxnc.php?id=1
浙江新闻,http://hw-m-l.cztv.com/channels/lantian/channel07/1080p.m3u8
南宁新闻,http://hls.nntv.cn/nnlive/NNTV_NEWS_A.m3u8
昆明新闻,http://wshls.live.migucloud.com/live/01YCQY7M_C0/playlist.m3u8
沈阳新闻,http://hdtv.haust.edu.cn/hls/hls142.m3u8
沈阳新闻,http://hdtv.haust.edu.cn/hls/hls9.m3u8
吉林新闻,http://hdtv.haust.edu.cn/hls/jlu_jsgg.m3u8
哈尔滨新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225745/index.m3u8
哈尔滨新闻,http://39.134.66.66/PLTV/88888888/224/3221225684/index.m3u8
兰州新闻,http://39.134.39.39/PLTV/88888888/224/3221226242/index.m3u8



港澳,#genre#


无线新闻,http://livetv.dnsfor.me/channel.10.m3u8
无线财经,http://livetv.dnsfor.me/channel.11.m3u8
TVB星河,http://50.7.161.82:8278/streams/d/Xinhe/playlist.m3u8
翡翠台,http://185.207.176.189:8080/channels/tv-81/playlist.m3u8
有線新聞,https://api.leonardpark.dev/live/icable/109
有線財經,https://api.leonardpark.dev/live/icable/108
有線直播,https://api.leonardpark.dev/live/icable/110

ViuTv6,http://185.207.176.189:8080/channels/tv-96/playlist.m3u8
ViuTv,http://185.207.176.189:8080/channels/tv-99/playlist.m3u8

香港开电视,http://livetv.dnsfor.me/channel.9.m3u8
香港开电视,http://media.fantv.hk/m3u8/archive/channel2_stream1.m3u8
凤凰资讯,https://player.ggiptv.com/v/ifeng.php?id=1


港台31,http://185.207.176.189:8080/channels/tv-31/playlist.m3u8
港台32,http://185.207.176.189:8080/channels/tv-32/playlist.m3u8
港台33,http://185.207.176.189:8080/channels/tv-33/playlist.m3u8

天映频道,http://185.180.221.194:8278/streams/d/Celestial/playlist.m3u8
天映经典,http://50.7.161.82:8278/streams/d/Celestial2/playlist.m3u8





港台电视31,http://livetv.dnsfor.me/channel.1.m3u8
港台电视31,http://rthklive1-lh.akamaihd.net/i/rthk31_1@167495/index_810_av-b.m3u8
港台电视32,http://livetv.dnsfor.me/channel.2.m3u8
港台电视32,https://rthklive2-lh.akamaihd.net/i/rthk32_1@168450/index_1080_av-b.m3u8
香港电台,https://rthkcnews-lh.akamaihd.net/i/rthknews_1@312607/index_190000011_av-b.m3u8
凤凰资讯,https://player.ggiptv.com/v/ifeng.php?id=1
凤凰香港,http://223.110.245.136/PLTV/3/224/3221226975/index.m3u8
耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
澳门莲花,http://ye23.win/iptv/lotustv2020.php
澳门卫视,http://live4.tdm.com.mo:80/ch3/_definst_//ch3.live/playlist.m3u8
澳门卫视,http://61.244.22.4/ch3/ch3.live/playelist.m3u8
澳门综艺,http://live4.tdm.com.mo:80/ch6/_definst_/hd_ch6.live/playlist.m3u8
澳视澳门,http://61.244.22.4/ch1/ch1.live/playelist.m3u8
澳视澳门,http://61.244.22.4/ch1/ch1.live/chunklist_w1769233607.m3u8
澳视葡语,http://61.244.22.4/ch2/ch2.live/playelist.m3u8
澳视葡语,http://61.244.22.4/ch2/ch2.live/chunklist_w861342563.m3u8

澳視澳門,http://live4.tdm.com.mo/ch1/_definst_/ch1.live/playlist.m3u8
澳門綜藝,http://live4.tdm.com.mo/ch6/_definst_/hd_ch6.live/playlist.m3u8
澳視葡文,http://live4.tdm.com.mo/ch2/_definst_/ch2.live/playlist.m3u8
澳視MACAU,http://live4.tdm.com.mo/ch3/_definst_/ch3.live/playlist.m3u8
澳視資訊,http://live4.tdm.com.mo/ch5/_definst_/info_ch5.live/playlist.m3u8
國家地理香港,rtmp://[2001:da8:ff3a:c883:200::]/livetv/natlgeo
V 中文音乐,rtmp://[2001:da8:ff3a:c883:200::]/livetv/channelv

港台,#genre#

有線新聞,https://api.leonardpark.dev/live/icable/109
有線財經,https://api.leonardpark.dev/live/icable/108
有線直播,https://api.leonardpark.dev/live/icable/110
港台電視33,https://cdn.hkdtmb.com/hls/33/index.m3u8
香港開電視,https://cdn.hkdtmb.com/hls/77/index.m3u8
香港國際財經,https://cdn.hkdtmb.com/hls/76/index.m3u8
翡翠台,http://185.207.176.189:8080/channels/tv-81/playlist.m3u8
96ViuTv6,http://185.207.176.189:8080/channels/tv-96/playlist.m3u8
99ViuTv,http://185.207.176.189:8080/channels/tv-99/playlist.m3u8
31港台,http://185.207.176.189:8080/channels/tv-31/playlist.m3u8
32港台,http://185.207.176.189:8080/channels/tv-32/playlist.m3u8
33港台,http://185.207.176.189:8080/channels/tv-33/playlist.m3u8
Viu tv,http://185.207.176.189:8080/channels/tv-96/mpeg.2ts
翡翠,mitv://fccseuro.pvbox.live:18912/5d1220350000ba27f9471ccdeb9a8058.ts
明珠,mitv://fccseuro.pvbox.live:18912/5dbeb1ca000ccc5031839eb645936fa4.ts
明珠,mitv://fccsovh.pvbox.live:18912/5dbeb1ca000ccc5031839eb645936fa4.ts
明珠,mitv://fccsovh.pvbox.live:18912/5ee71d1f000ca48662b2c9ab00e6445a.ts
无线新闻,mitv://fccseuro.pvbox.live:18912/5dbeb1c40003f9a457dd11d6cb7a10d0.ts
无线新闻,mitv://fccsovh.pvbox.live:18912/5dbeb1c40003f9a457dd11d6cb7a10d0.ts
无线新闻,mitv://fccsovh.pvbox.live:18912/5ee71d1c0004c66962b2bbef39b16ddb.ts
无线新闻,mitv://fccseuro.pvbox.live:18912/5ee71d1c0004c66962b2bbef39b16ddb.ts
无线财经,mitv://fccsovh.pvbox.live:18912/5ee71d1e0002271962b2c31332f45545.ts
无线财经,mitv://fccseuro.pvbox.live:18912/5ee71d1e0002271962b2c31332f45545.ts
无线财经,mitv://fccseuro.pvbox.live:18912/5dbeb1cc0007501623a21bd1ab71921c.ts
无线财经,mitv://fccsovh.pvbox.live:18912/5dbeb1cc0007501623a21bd1ab71921c.ts
TVB经典,mitv://fccsovh.pvbox.live:18912/5fbb5a9f00079d3b9fc240962c3b63be.ts
TVB经典,mitv://fccseuro.pvbox.live:18912/5fbb5a9f00079d3b9fc240962c3b63be.ts
TVB星河,mitv://fccseuro.pvbox.live:18912/5d65048c0003e9aecc353f52270c8bbe.ts
TVB星河,mitv://fccsovh.pvbox.live:18912/5d65048c0003e9aecc353f52270c8bbe.ts
J2,mitv://fccseuro.pvbox.live:18912/5dbeb1ce0004b0ebd816f2f1ed100d7b.ts
J2,mitv://fccsovh.pvbox.live:18912/5dbeb1ce0004b0ebd816f2f1ed100d7b.ts
J2,mitv://fccseuro.pvbox.live:18912/5d122036000a0661d2e59906fed8fd3c.ts
J2,mitv://fccsovh.pvbox.live:18912/5d122036000a0661d2e59906fed8fd3c.ts
J5,mitv://fccseuro.pvbox.live:18912/5b14095400047cf5d3436751842bee62.ts
J5,mitv://fccsovh.pvbox.live:18912/5b14095400047cf5d3436751842bee62.ts
HKC新闻,mitv://fccsovh.pvbox.live:18912/5cb870de000968d092345e9ff2a5d955.ts
HKC新闻,mitv://fccseuro.pvbox.live:18912/5cb870de000968d092345e9ff2a5d955.ts
香港開電視,mitv://fccsovh.pvbox.live:18912/5b140a990002d1a89cac9e13b5b361a2.ts
香港開電視,mitv://54.39.118.88:18912/5b140a990002d1a89cac9e13b5b361a2.ts
Now 新闻,mitv://fccsovh.pvbox.live:18912/5f21534e0006fafc46163c67247e009a.ts
Now 新闻,mitv://fccseuro.pvbox.live:18912/5f21534e0006fafc46163c67247e009a.ts
TVBS 新闻,http://198.16.106.62:8278/streams/d/tvbs_n/playlist.m3u8
TVBS 欢乐,http://198.16.106.62:8278/streams/d/tvbsgbk_twn/playlist.m3u8
TVBS HD,http://198.16.106.62:8278/streams/d/tvbs/playlist.m3u8
中天新闻 HD,http://198.16.106.62:8278/streams/d/ctinews/playlist.m3u8
中天娱乐,http://198.16.106.62:8278/streams/d/ctient/playlist.m3u8
中天综合,http://198.16.106.62:8278/streams/d/ctizhonghe/playlist.m3u8
民视HD,http://198.16.106.62:8278/streams/d/ftvhd_taiwan/playlist.m3u8
民视台湾,http://198.16.106.62:8278/streams/d/ftvtaiwan_twn/playlist.m3u8
三立台湾,http://198.16.106.62:8278/streams/d/sanlitaiwan/playlist.m3u8
爱尔达综合,http://198.16.106.62:8278/streams/d/eltazonghe_zero/playlist.m3u8
纬来日本,http://198.16.106.62:8278/streams/d/videolandjapan_zero/playlist.m3u8
纬来电影,http://198.16.106.62:8278/streams/d/videolandmovie_zero/playlist.m3u8
纬来精彩,http://198.16.106.62:8278/streams/d/videolandspecial_zero/playlist.m3u8
纬来体育,http://198.16.106.62:8278/streams/d/videolandsport_zero/playlist.m3u8
纬来戏剧,http://198.16.106.62:8278/streams/d/videolandxiju_zero/playlist.m3u8
纬来综合,http://198.16.106.62:8278/streams/d/videolandzonghe_zero/playlist.m3u8
亚洲美食,http://198.16.106.62:8278/streams/d/asiafood_zero/playlist.m3u8
中华美食,http://198.16.106.62:8278/streams/d/chinesefood_zero/playlist.m3u8
美食星球,http://198.16.106.62:8278/streams/d/foodplanet_zero/playlist.m3u8
亚洲旅游 TLC Asia,http://198.16.106.62:8278/streams/d/tlcasia_zero/playlist.m3u8
MTV Live,http://198.16.106.62:8278/streams/d/mtvlive_zero/playlist.m3u8
三立戏剧,http://198.16.106.62:8278/sanlixiju_zero/playlist.m3u8
爱尔达体育3,http://198.16.106.62:8278/eltasport3_zero/playlist.m3u8

NatGeo_People,http://198.16.106.62:8278/streams/d/natgeopeople_zero/playlist.m3u8
Discovery Eve,http://198.16.106.62:8278/streams/d/eve_zero/playlist.m3u8
BBC Earth HD,http://198.16.106.62:8278/streams/d/bbcearthhd_zero/playlist.m3u8
BBC Earth Lifestyle,http://198.16.106.62:8278/streams/d/bbclifestyle_zero/playlist.m3u8
Luxe TV,http://198.16.106.62:8278/streams/d/luxetv_zero/playlist.m3u8
Nickelodeon,http://198.16.106.62:8278/streams/d/Nickelodeon/playlist.m3u8
Nick Jr,http://198.16.106.62:8278/streams/d/Nickjr/playlist.m3u8
Baby TV Eng,http://198.16.106.62:8278/streams/d/Babytv/playlist.m3u8
Kids TV,http://198.16.106.62:8278/streams/d/KidsTV/playlist.m3u8
CBeebies,http://198.16.106.62:8278/streams/d/Cbeebies/playlist.m3u8
Disney Channel,http://198.16.106.62:8278/streams/d/Disneyxd/playlist.m3u8
Disney Junior,http://198.16.106.62:8278/streams/d/Disneyjr/playlist.m3u8
MiaoMi,http://198.16.106.62:8278/streams/d/MiaoMi/playlist.m3u8





台湾,#genre#

壹新闻HD,http://stream.nexttv.com.tw:80/n001/hd/live.m3u8
壹新闻HD,http://stream.nexttv.com.tw/n001/hd/live.m3u8
TVBS新闻,http://seb.sason.top/sc/tvbsxw_fhd.m3u8
中天新闻,http://seb.sason.top/sc/ztxw_fhd.m3u8
中视新闻,http://seb.sason.top/sc/zsxw_fhd.m3u8
台视新闻,http://seb.sason.top/sc/tsxw_fhd.m3u8
民视新闻,http://seb.sason.top/sc/msxw_fhd.m3u8
东森新闻,http://seb.sason.top/sc/dsxw_fhd.m3u8
华视新闻,http://seb.sason.top/sc/hsxw_fhd.m3u8
三立iNews,http://seb.sason.top/sc/slinews_fhd.m3u8
三立Live新闻,http://seb.sason.top/sc/sllive_fhd.m3u8
民        视,http://seb.sason.top/ptv/ftv.php?id=ms
民视第一,http://seb.sason.top/ptv/ftv.php?id=dy
民视旅游,http://seb.sason.top/ptv/ftv.php?id=ly
民视台湾,http://seb.sason.top/ptv/ftv.php?id=tw
民视新闻,http://seb.sason.top/sc/msxw_fhd.m3u8
民视影剧,http://seb.sason.top/ptv/ftv.php?id=yj
民视综艺,http://seb.sason.top/ptv/ftv.php?id=zy
民视新闻,http://6.mms.vlog.xuite.net/hls/ftvtv/index.m3u8

原住民電視,http://streamipcf.akamaized.net/live/_definst_/live_720/key_b1500.m3u8



央视,#genre#


CCTV1,http://39.134.155.133/PLTV/88888888/224/3221225591/index.m3u8
CCTV1,http://39.134.155.133/PLTV/88888888/224/3221225658/index.m3u8
CCTV1,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225829/index.m3u8
CCTV1,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221227014/index.m3u8
CCTV1,http://39.135.230.69/ott.fj.chinamobile.com/PLTV/88888888/224/3221226995/index.m3u8
CCTV1,http://39.135.230.81/ott.fj.chinamobile.com/PLTV/88888888/224/3221226908/index.m3u8
CCTV1,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225922/index.m3u8
CCTV2,http://39.134.155.135/PLTV/88888888/224/3221225605/index.m3u8
CCTV2,http://39.134.155.153/PLTV/88888888/224/3221225650/index.m3u8
CCTV2,http://39.135.230.74/ott.fj.chinamobile.com/PLTV/88888888/224/3221226795/index.m3u8
CCTV2,http://39.135.230.80/ott.fj.chinamobile.com/PLTV/88888888/224/3221225800/index.m3u8
CCTV2,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225923/index.m3u8
CCTV2,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226915/index.m3u8
CCTV3,http://39.134.134.84/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226471/1.m3u8
CCTV3,http://111.63.117.13:6060/030000001000/CCTV-3/CCTV-3.m3u8
CCTV3,http://183.207.255.190/live/program/live/cctv3hd/4000000/mnf.m3u8
CCTV4,http://39.134.155.215/PLTV/88888888/224/3221225641/index.m3u8
CCTV4,http://39.135.230.80/ott.fj.chinamobile.com/PLTV/88888888/224/3221225802/index.m3u8
CCTV4,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226968/index.m3u8
CCTV4美洲,http://39.134.216.5/mgsp.live.miguvideo.com:8088/migu/kailu/20200324/cctv4meihd/57/index.m3u8?&encrypt=1$1 1080p 2M
CCTV4欧洲,http://39.134.216.5/mgsp.live.miguvideo.com:8088/migu/kailu/20200324/cctv4ouhd/57/index.m3u8?&encrypt=1$1 1080p 2M
CCTV5+,http://39.135.230.82/ott.fj.chinamobile.com/PLTV/88888888/224/3221225821/index.m3u8
CCTV5+,http://39.135.230.72/ott.fj.chinamobile.com/PLTV/88888888/224/3221225939/index.m3u8
CCTV5+,http://39.135.230.88/ott.fj.chinamobile.com/PLTV/88888888/224/3221226919/index.m3u8
CCTV6,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226468/1.m3u8$蓝光#http://39.134.115.163:8080/TVOD/88888910/224/3221225650/index.m3u8$蓝光#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225786/index.m3u8$超清#migu://624878393$高清
CCTV6,http://183.207.255.190/live/program/live/cctv6hd/4000000/mnf.m3u8
CCTV6,http://223.110.243.139/PLTV/3/224/3221225548/index.m3u8
CCTV6,http://39.134.115.163:8080/PLTV/88888910/224/3221225650/index.m3u8
CCTV7,http://39.134.155.143/PLTV/88888888/224/3221225596/index.m3u8
CCTV7,http://39.134.155.203/PLTV/88888888/224/3221225661/index.m3u8
CCTV7,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226803/index.m3u8
CCTV7,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225805/index.m3u8
CCTV7,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226998/index.m3u8
CCTV7,http://39.135.230.81/ott.fj.chinamobile.com/PLTV/88888888/224/3221225927/index.m3u8
CCTV7,http://39.135.230.82/ott.fj.chinamobile.com/PLTV/88888888/224/3221226972/index.m3u8
